topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,73,0.49,0.75,16.52173913043478,51,49,23,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,73,0.47,1.875,13.733333333333333,53,47,30,37
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,45,0.4,3.3125,15.263157894736842,60,40,38,33
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,45,0.44,0.6875,20.4375,56,44,32,39
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,45,0.4,3.375,15.421052631578947,60,40,38,33
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,90,0.31,2.375,14.341463414634147,69,31,41,25
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,90,0.47,0.625,16.0,53,47,25,41
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,90,0.28,2.9375,13.238095238095237,72,28,42,24
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,62,0.35,3.4375,16.0,65,35,37,30
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,62,0.45,2.0625,18.642857142857142,55,45,28,39
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,62,0.33,4.25,16.85,67,33,40,27
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,37,0.42,2.625,15.951219512195122,58,42,41,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,37,0.55,0.875,16.428571428571427,45,55,28,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,37,0.5,2.5,17.6,50,50,35,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,35,0.51,1.6875,14.461538461538462,49,51,26,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,35,0.51,1.0,21.82608695652174,49,51,23,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,35,0.53,0.4375,16.181818181818183,47,53,22,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,9,0.49,4.5625,16.705882352941178,51,49,34,39
